slug,player_name,public_report_summary,public_why_he_wins,public_primary_concerns,public_film_notes,public_role_projection,seo_description,private_owner_notes
keldric-faulk,Keldric Faulk,"Keldric Faulk (EDGE, Auburn) projects as a Round 1-2 talent with his cleanest NFL path coming as a wide-alignment speed pressure creator in Multiple-front upfield rush plan. The current model grade sits at 91.71, with the board currently slotting him at No. 11. instant starter profile; produces pressure through get-off and counters.","- Usage fit: Wide-alignment speed pressure creator within Multiple-front upfield rush plan.
- Film translation comes from rush sequencing: first-step threat, hand counters, and rush-to-contain discipline by game state.
- Model + film note: instant starter profile; produces pressure through get-off and counters.","- Total hurry volume (6.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,"Best early team fit: PHI. Expected early deployment: Wide-alignment speed pressure creator in Multiple-front upfield rush plan. Early value comes from a true four-down profile that combines rush productivity with edge-setting discipline versus the run. Historical combine comp: Brian Johnston (2008), athletic-profile match 98.69%.","Keldric Faulk EDGE scouting report, traits, role fit, concerns, and NFL Draft projection.",
makai-lemon,Makai Lemon,"Makai Lemon (WR, USC Trojans) projects as a Round 1-2 talent with his cleanest NFL path coming as a movement z separator in Spread motion / leverage-creation menu. The current model grade sits at 91.61, with the board currently slotting him at No. 12. instant starter profile; creates separation and finishes at the catch point.","- Usage fit: Movement Z separator within Spread motion / leverage-creation menu.
- Film translation comes from route craft: release with a plan, manipulate leverage in stems, and separate at breakpoints with late hands.
- Receiver style lens: separation is driven by route-volume earning.
- Model + film note: instant starter profile; creates separation and finishes at the catch point.","- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,"Best early team fit: CLE. Expected early deployment: Movement Z separator in Spread motion / leverage-creation menu. Early value comes from leverage-based separation, coverage-ID chemistry with the quarterback, and finish strength through contact. Historical combine comp: Gabe Marks (2017), athletic-profile match 98.01%.","Makai Lemon WR scouting report, traits, role fit, concerns, and NFL Draft projection.",
kayden-mcdonald,Kayden McDonald,"Kayden McDonald (DT, Ohio State Buckeyes) projects as a Round 1-2 talent with his cleanest NFL path coming as a double-team absorbing anchor in Odd-front shade / early-down interior fit. The current model grade sits at 91.57, with the board currently slotting him at No. 13. instant starter profile; controls interior gaps and collapses pocket.","- Usage fit: Double-team absorbing anchor within Odd-front shade / early-down interior fit.
- Film translation comes from disruption and block control: strike timing, gap integrity, and pocket compression on long downs.
- Model + film note: instant starter profile; controls interior gaps and collapses pocket.","- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,"Best early team fit: BUF. Expected early deployment: Double-team absorbing anchor in Odd-front shade / early-down interior fit. Early value comes from early-down run control plus enough third-down pocket push to keep fronts multiple. Historical combine comp: Beau Allen (2014), athletic-profile match 95.82%.","Kayden McDonald DT scouting report, traits, role fit, concerns, and NFL Draft projection.",
olaivavega-ioane,Olaivavega Ioane,"Olaivavega Ioane (IOL, Penn State) projects as a Round 1-2 talent with his cleanest NFL path coming as a pocket-control interior starter in Inside-zone / dropback protection core. The current model grade sits at 91.55, with the board currently slotting him at No. 14. instant starter profile; stabilizes interior pocket depth and run fits.","- Usage fit: Pocket-control interior starter within Inside-zone / dropback protection core.
- Film translation comes from interior control: hand placement, leverage, and communication to pass off stunts without leakage.
- Model + film note: instant starter profile; stabilizes interior pocket depth and run fits.","- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,"Best early team fit: DET. Expected early deployment: Pocket-control interior starter in Inside-zone / dropback protection core. Early value comes from interior pocket integrity, line-call chemistry, and efficient climb timing in zone and gap runs. Historical combine comp: Larry Borom (2021), athletic-profile match 94.24%.","Olaivavega Ioane IOL scouting report, traits, role fit, concerns, and NFL Draft projection.",
dillon-thieneman,Dillon Thieneman,"Dillon Thieneman (S, Oregon) projects as a Round 1-2 talent with his cleanest NFL path coming as a coverage eraser safety in Split-safety eraser / disguise-heavy family. The current model grade sits at 89.87, with the board currently slotting him at No. 15. instant starter profile; eliminates explosives with range and communication.","- Usage fit: Coverage eraser safety within Split-safety eraser / disguise-heavy family.
- Film translation comes from range plus communication: rotate on time, overlap windows, and close space with controlled tackling angles.
- Model + film note: instant starter profile; eliminates explosives with range and communication.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,"Best early team fit: MIA. Expected early deployment: Coverage eraser safety in Split-safety eraser / disguise-heavy family. Early value comes from rotation versatility, overlap range, and communication that prevents explosive busts. Historical combine comp: Xavier Watts (2025), athletic-profile match 93.87%.","Dillon Thieneman S scouting report, traits, role fit, concerns, and NFL Draft projection.",
cashius-howell,Cashius Howell,"Cashius Howell (EDGE, Texas A&M Aggies) projects as a Round 1-2 talent with his cleanest NFL path coming as a wide-alignment speed pressure creator in Multiple-front upfield rush plan. The current model grade sits at 91.04, with the board currently slotting him at No. 16. instant starter profile; produces pressure through get-off and counters.","- Usage fit: Wide-alignment speed pressure creator within Multiple-front upfield rush plan.
- Film translation comes from rush sequencing: first-step threat, hand counters, and rush-to-contain discipline by game state.
- Model + film note: instant starter profile; produces pressure through get-off and counters.","- Burst/explosion profile is below ideal EDGE threshold, which can limit first-step stress.
- Total hurry volume (5.0) leaves less evidence of sustained rush disruption.",,"Best early team fit: PHI. Expected early deployment: Wide-alignment speed pressure creator in Multiple-front upfield rush plan. Early value comes from a true four-down profile that combines rush productivity with edge-setting discipline versus the run. Historical combine comp: Hilee Taylor (2008), athletic-profile match 93.03%.","Cashius Howell EDGE scouting report, traits, role fit, concerns, and NFL Draft projection.",
kenyon-sadiq,Kenyon Sadiq,"Kenyon Sadiq (TE, Oregon) projects as a Round 1-2 talent with his cleanest NFL path coming as a y-tight end with chain-moving value in Play-action attach / boot complement. The current model grade sits at 90.05, with the board currently slotting him at No. 17. instant starter profile; projects as a mismatch in multiple alignments.","- Usage fit: Y-tight end with chain-moving value within Play-action attach / boot complement.
- Film translation comes from dual-phase utility: route detail vs coverage plus in-line toughness that keeps personnel groupings flexible.
- Receiver style lens: separation is driven by vertical speed stress.
- Model + film note: instant starter profile; projects as a mismatch in multiple alignments.","- Route-level efficiency is light for top projection tiers (YPRR 1.89).
- Target-earning rate (17.3% share) suggests volume translation risk against NFL coverage.
- PFF grade 70.4 suggests current performance volatility that needs film-confirmed cleanup.",,"Best early team fit: LAC. Expected early deployment: Y-tight end with chain-moving value in Play-action attach / boot complement. Early value comes from personnel flexibility, where the same player can stress seams and still survive attached to the formation. Historical combine comp: Jameson Konz (2010), athletic-profile match 89.42%.","Kenyon Sadiq TE scouting report, traits, role fit, concerns, and NFL Draft projection.",
emmanuel-mcneil-warren,Emmanuel McNeil-Warren,"Emmanuel McNeil-Warren (S, Toledo) projects as a Round 1-2 talent with his cleanest NFL path coming as a range-first split safety in Quarters / middle-field-open range fit. The current model grade sits at 90.33, with the board currently slotting him at No. 18. instant starter profile; eliminates explosives with range and communication.","- Usage fit: Range-first split safety within Quarters / middle-field-open range fit.
- Film translation comes from range plus communication: rotate on time, overlap windows, and close space with controlled tackling angles.
- Model + film note: instant starter profile; eliminates explosives with range and communication.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,"Best early team fit: MIA. Expected early deployment: Range-first split safety in Quarters / middle-field-open range fit. Early value comes from rotation versatility, overlap range, and communication that prevents explosive busts. Historical combine comp: Tommie Campbell (2011), athletic-profile match 95.51%.","Emmanuel McNeil-Warren S scouting report, traits, role fit, concerns, and NFL Draft projection.",
brandon-cisse,Brandon Cisse,"Brandon Cisse (CB, South Carolina Gamecocks) projects as a Round 1-2 talent with his cleanest NFL path coming as a outside starter with matchup flexibility in Press-match / quarters hybrid. The current model grade sits at 90.08, with the board currently slotting him at No. 19. instant starter profile; matches routes with disciplined leverage.","- Usage fit: Outside starter with matchup flexibility within Press-match / quarters hybrid.
- Film translation comes from coverage mechanics: maintain leverage, transition cleanly, and finish at the catch point without panic.
- Model + film note: instant starter profile; matches routes with disciplined leverage.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,"Best early team fit: JAX. Expected early deployment: Outside starter with matchup flexibility in Press-match / quarters hybrid. Early value comes from leverage consistency across man and zone, plus reliable tackle finish when the offense tests him in run support. Historical combine comp: Zech McPhearson (2021), athletic-profile match 95.99%.","Brandon Cisse CB scouting report, traits, role fit, concerns, and NFL Draft projection.",
blake-miller,Blake Miller,"Blake Miller (OT, Clemson) projects as a Round 1-2 talent with his cleanest NFL path coming as a blindside pass-pro translator in Wide-zone / vertical-set tackle playbook. The current model grade sits at 89.67, with the board currently slotting him at No. 20. instant starter profile; has playable pass-pro mechanics with growth runway.","- Usage fit: Blindside pass-pro translator within Wide-zone / vertical-set tackle playbook.
- Film translation comes from pass-pro consistency: set points, half-man leverage, and anchor recovery against speed-to-power.
- Model + film note: instant starter profile; has playable pass-pro mechanics with growth runway.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,"Best early team fit: LAR. Expected early deployment: Blindside pass-pro translator in Wide-zone / vertical-set tackle playbook. Early value comes from stable pass sets versus wide alignments and enough run-game displacement without losing balance. Historical combine comp: Ben Riva (2015), athletic-profile match 94.99%.","Blake Miller OT scouting report, traits, role fit, concerns, and NFL Draft projection.",
spencer-fano,Spencer Fano,"Spencer Fano (OT, Utah) projects as a Round 1-2 talent with his cleanest NFL path coming as a balanced starting tackle in Zone-power hybrid tackle menu. The current model grade sits at 88.99, with the board currently slotting him at No. 21. instant starter profile; has playable pass-pro mechanics with growth runway.","- Usage fit: Balanced starting tackle within Zone-power hybrid tackle menu.
- Film translation comes from pass-pro consistency: set points, half-man leverage, and anchor recovery against speed-to-power.
- Model + film note: instant starter profile; has playable pass-pro mechanics with growth runway.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,"Best early team fit: LAR. Expected early deployment: Balanced starting tackle in Zone-power hybrid tackle menu. Early value comes from stable pass sets versus wide alignments and enough run-game displacement without losing balance. Historical combine comp: Coy Cronk (2021), athletic-profile match 94.11%.","Spencer Fano OT scouting report, traits, role fit, concerns, and NFL Draft projection.",
cj-allen,C.J. Allen,"C.J. Allen (LB, Georgia) projects as a Round 1-2 talent with his cleanest NFL path coming as a run-and-chase will backer in Pursuit-heavy split-safety fit. The current model grade sits at 89.65, with the board currently slotting him at No. 22. instant starter profile; processes quickly and closes efficiently.","- Usage fit: Run-and-chase WILL backer within Pursuit-heavy split-safety fit.
- Film translation comes from read/trigger speed: sort run-pass keys early, fit cleanly, and carry routes with controlled angles.
- Model + film note: instant starter profile; processes quickly and closes efficiently.","- Play-strength profile can limit block deconstruction consistency at NFL second level.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,"Best early team fit: HOU. Expected early deployment: Run-and-chase WILL backer in Pursuit-heavy split-safety fit. Early value comes from fit integrity, pursuit range, and route-distribution awareness in coverage. Historical combine comp: Tuf Borland (2021), athletic-profile match 97.1%.","C.J. Allen LB scouting report, traits, role fit, concerns, and NFL Draft projection.",
david-bailey,David Bailey,"David Bailey (EDGE, Texas Tech) projects as a Round 1-2 talent with his cleanest NFL path coming as a three-down pressure creator in Multiple-front every-down edge role. The current model grade sits at 88.20, with the board currently slotting him at No. 23. instant starter profile; produces pressure through get-off and counters.","- Usage fit: Three-down pressure creator within Multiple-front every-down edge role.
- Film translation comes from rush sequencing: first-step threat, hand counters, and rush-to-contain discipline by game state.
- Model + film note: instant starter profile; produces pressure through get-off and counters.","- Total hurry volume (10.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,"Best early team fit: PHI. Expected early deployment: Three-down pressure creator in Multiple-front every-down edge role. Early value comes from a true four-down profile that combines rush productivity with edge-setting discipline versus the run. Historical combine comp: Drake Jackson (2022), athletic-profile match 95.35%.","David Bailey EDGE scouting report, traits, role fit, concerns, and NFL Draft projection.",
fernando-mendoza,Fernando Mendoza,"Fernando Mendoza (QB, Indiana) projects as a Round 1-2 talent with his cleanest NFL path coming as a dynamic spread starter in Spread/RPO movement-launch attack. The current model grade sits at 89.24, with the board currently slotting him at No. 24. instant starter profile; wins with timing and structure while retaining off-script creation.","- Usage fit: Dynamic spread starter within Spread/RPO movement-launch attack.
- Film translation comes from timing/processing: ID leverage pre-snap, hold structure from the pocket, and create only when structure breaks.
- QB style lens: high-efficiency anticipation distributor; wins by seeing windows early and triggering on time from structure.
- Model + film note: instant starter profile; wins with timing and structure while retaining off-script creation.","- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.",,"Best early team fit: LV. Expected early deployment: Dynamic spread starter in Spread/RPO movement-launch attack. Early value comes from rhythm passing on early downs, controlled aggression on explosives, and situational command on third down or in two-minute. Historical combine comp: Jameis Winston (2015), athletic-profile match 95.59%.","Fernando Mendoza QB scouting report, traits, role fit, concerns, and NFL Draft projection.",
emmanuel-pregnon,Emmanuel Pregnon,"Emmanuel Pregnon (IOL, Oregon) projects as a Round 1-2 talent with his cleanest NFL path coming as a pocket-control interior starter in Inside-zone / dropback protection core. The current model grade sits at 88.94, with the board currently slotting him at No. 25. instant starter profile; stabilizes interior pocket depth and run fits.","- Usage fit: Pocket-control interior starter within Inside-zone / dropback protection core.
- Film translation comes from interior control: hand placement, leverage, and communication to pass off stunts without leakage.
- Model + film note: instant starter profile; stabilizes interior pocket depth and run fits.","- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,"Best early team fit: DET. Expected early deployment: Pocket-control interior starter in Inside-zone / dropback protection core. Early value comes from interior pocket integrity, line-call chemistry, and efficient climb timing in zone and gap runs. Historical combine comp: John Williams (2025), athletic-profile match 94.75%.","Emmanuel Pregnon IOL scouting report, traits, role fit, concerns, and NFL Draft projection.",
peter-woods,Peter Woods,"Peter Woods (DT, Clemson) projects as a Round 1-2 talent with his cleanest NFL path coming as a one-gap interior disruptor in Upfield one-gap attack front. The current model grade sits at 88.75, with the board currently slotting him at No. 26. instant starter profile; controls interior gaps and collapses pocket.","- Usage fit: One-gap interior disruptor within Upfield one-gap attack front.
- Film translation comes from disruption and block control: strike timing, gap integrity, and pocket compression on long downs.
- Model + film note: instant starter profile; controls interior gaps and collapses pocket.","- Interior mass profile is light for consistent NFL anchor control on early downs.
- PFF grade 72.2 suggests current performance volatility that needs film-confirmed cleanup.",,"Best early team fit: BUF. Expected early deployment: One-gap interior disruptor in Upfield one-gap attack front. Early value comes from early-down run control plus enough third-down pocket push to keep fronts multiple. Historical combine comp: Tyler Davis (2024), athletic-profile match 97.51%.","Peter Woods DT scouting report, traits, role fit, concerns, and NFL Draft projection.",
akheem-mesidor,Akheem Mesidor,"Akheem Mesidor (EDGE, Miami (FL)) projects as a Round 1-2 talent with his cleanest NFL path coming as a wide-alignment speed pressure creator in Multiple-front upfield rush plan. The current model grade sits at 88.45, with the board currently slotting him at No. 27. instant starter profile; produces pressure through get-off and counters.","- Usage fit: Wide-alignment speed pressure creator within Multiple-front upfield rush plan.
- Film translation comes from rush sequencing: first-step threat, hand counters, and rush-to-contain discipline by game state.
- Model + film note: instant starter profile; produces pressure through get-off and counters.","- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,"Best early team fit: PHI. Expected early deployment: Wide-alignment speed pressure creator in Multiple-front upfield rush plan. Early value comes from a true four-down profile that combines rush productivity with edge-setting discipline versus the run. Historical combine comp: Derek Barnett (2017), athletic-profile match 98.17%.","Akheem Mesidor EDGE scouting report, traits, role fit, concerns, and NFL Draft projection.",
tj-parker,T.J. Parker,"T.J. Parker (EDGE, Clemson) projects as a Round 1-2 talent with his cleanest NFL path coming as a wide-alignment speed pressure creator in Multiple-front upfield rush plan. The current model grade sits at 88.33, with the board currently slotting him at No. 28. instant starter profile; produces pressure through get-off and counters.","- Usage fit: Wide-alignment speed pressure creator within Multiple-front upfield rush plan.
- Film translation comes from rush sequencing: first-step threat, hand counters, and rush-to-contain discipline by game state.
- Model + film note: instant starter profile; produces pressure through get-off and counters.","- Total hurry volume (7.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,"Best early team fit: PHI. Expected early deployment: Wide-alignment speed pressure creator in Multiple-front upfield rush plan. Early value comes from a true four-down profile that combines rush productivity with edge-setting discipline versus the run. Historical combine comp: Eku Leota (2023), athletic-profile match 97.4%.","T.J. Parker EDGE scouting report, traits, role fit, concerns, and NFL Draft projection.",
rueben-bain-jr,Rueben Bain Jr.,"Rueben Bain Jr. (EDGE, Miami (FL) Hurricanes) projects as a Round 1-2 talent with his cleanest NFL path coming as a wide-alignment speed pressure creator in Multiple-front upfield rush plan. The current model grade sits at 88.12, with the board currently slotting him at No. 29. instant starter profile; produces pressure through get-off and counters.","- Usage fit: Wide-alignment speed pressure creator within Multiple-front upfield rush plan.
- Film translation comes from rush sequencing: first-step threat, hand counters, and rush-to-contain discipline by game state.
- Model + film note: instant starter profile; produces pressure through get-off and counters.","- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,"Best early team fit: PHI. Expected early deployment: Wide-alignment speed pressure creator in Multiple-front upfield rush plan. Early value comes from a true four-down profile that combines rush productivity with edge-setting discipline versus the run. Historical combine comp: Will Davis (2009), athletic-profile match 95.12%.","Rueben Bain Jr. EDGE scouting report, traits, role fit, concerns, and NFL Draft projection.",
