slug,player_name,position,school,current_generated_primary_concerns,current_public_primary_concerns_override,reviewed_primary_concerns,review_status,owner_notes
keldric-faulk,Keldric Faulk,EDGE,Auburn,"- Total hurry volume (6.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Total hurry volume (6.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
makai-lemon,Makai Lemon,WR,USC Trojans,"- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
kayden-mcdonald,Kayden McDonald,DT,Ohio State Buckeyes,"- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
dillon-thieneman,Dillon Thieneman,S,Oregon,"- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
olaivavega-ioane,Olaivavega Ioane,IOL,Penn State,"- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
emmanuel-mcneil-warren,Emmanuel McNeil-Warren,S,Toledo,"- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
carnell-tate,Carnell Tate,WR,Ohio State,"- Target-earning rate (19.0% share) suggests volume translation risk against NFL coverage.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Target-earning rate (19.0% share) suggests volume translation risk against NFL coverage.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
cashius-howell,Cashius Howell,EDGE,Texas A&M Aggies,"- Burst/explosion profile is below ideal EDGE threshold, which can limit first-step stress.
- Total hurry volume (5.0) leaves less evidence of sustained rush disruption.","- Burst/explosion profile is below ideal EDGE threshold, which can limit first-step stress.
- Total hurry volume (5.0) leaves less evidence of sustained rush disruption.",,,
kenyon-sadiq,Kenyon Sadiq,TE,Oregon,"- Route-level efficiency is light for top projection tiers (YPRR 1.89).
- Target-earning rate (17.3% share) suggests volume translation risk against NFL coverage.
- PFF grade 70.4 suggests current performance volatility that needs film-confirmed cleanup.","- Route-level efficiency is light for top projection tiers (YPRR 1.89).
- Target-earning rate (17.3% share) suggests volume translation risk against NFL coverage.
- PFF grade 70.4 suggests current performance volatility that needs film-confirmed cleanup.",,,
denzel-boston,Denzel Boston,WR,Washington,"- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
spencer-fano,Spencer Fano,OT,Utah,"- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
cj-allen,C.J. Allen,LB,Georgia,"- Play-strength profile can limit block deconstruction consistency at NFL second level.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- Play-strength profile can limit block deconstruction consistency at NFL second level.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
david-bailey,David Bailey,EDGE,Texas Tech,"- Total hurry volume (10.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Total hurry volume (10.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
fernando-mendoza,Fernando Mendoza,QB,Indiana,"- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.","- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.",,,
peter-woods,Peter Woods,DT,Clemson,"- Interior mass profile is light for consistent NFL anchor control on early downs.
- PFF grade 72.2 suggests current performance volatility that needs film-confirmed cleanup.","- Interior mass profile is light for consistent NFL anchor control on early downs.
- PFF grade 72.2 suggests current performance volatility that needs film-confirmed cleanup.",,,
emmanuel-pregnon,Emmanuel Pregnon,IOL,Oregon,"- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
brandon-cisse,Brandon Cisse,CB,South Carolina Gamecocks,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
blake-miller,Blake Miller,OT,Clemson,"- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
omar-cooper-jr,Omar Cooper Jr.,WR,Indiana,"- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
akheem-mesidor,Akheem Mesidor,EDGE,Miami (FL),"- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
tj-parker,T.J. Parker,EDGE,Clemson,"- Total hurry volume (7.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Total hurry volume (7.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
rueben-bain-jr,Rueben Bain Jr.,EDGE,Miami (FL) Hurricanes,"- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
anthony-hill-jr,Anthony Hill Jr.,LB,Texas Longhorns,"- PFF grade 72.8 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- PFF grade 72.8 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
colton-hood,Colton Hood,CB,Tennessee,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
avieon-terrell,Avieon Terrell,CB,Clemson,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
kc-concepcion,KC Concepcion,WR,Texas A&M Aggies,"- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
christen-miller,Christen Miller,DT,Georgia Bulldogs,"- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
ty-simpson,Ty Simpson,QB,Alabama Crimson Tide,"- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.","- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.",,,
caleb-banks,Caleb Banks,DT,Florida Gators,"- PFF grade 68.8 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- PFF grade 68.8 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
gabe-jacas,Gabe Jacas,EDGE,Illinois Fighting Illini,"- Total hurry volume (6.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Total hurry volume (6.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
eli-stowers,Eli Stowers,TE,Vanderbilt,"- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.","- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.",,,
josiah-trotter,Josiah Trotter,LB,Missouri Tigers,"- PFF grade 73.0 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- PFF grade 73.0 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
dangelo-ponds,D'Angelo Ponds,CB,Indiana,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
daylen-everette,Daylen Everette,CB,Georgia,"- PFF grade 69.7 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- PFF grade 69.7 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
skyler-bell,Skyler Bell,WR,Connecticut,"- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
dani-dennis-sutton,Dani Dennis-Sutton,EDGE,Penn State,"- Total hurry volume (8.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Total hurry volume (8.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
zion-young,Zion Young,EDGE,Missouri,"- Total hurry volume (14.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Total hurry volume (14.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
keionte-scott,Keionte Scott,CB,Miami (FL) Hurricanes,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
chris-brazzell-ii,Chris Brazzell II,WR,Tennessee,"- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
aj-haulcy,A.J. Haulcy,S,LSU Tigers,"- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
chase-bisontis,Chase Bisontis,IOL,Texas A&M,"- PFF grade 62.4 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 62.4 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
max-iheanachor,Max Iheanachor,OT,Arizona State,"- PFF grade 72.5 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- PFF grade 72.5 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
r-mason-thomas,R Mason Thomas,EDGE,Oklahoma,"- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
malachi-lawrence,Malachi Lawrence,EDGE,UCF,"- Total hurry volume (3.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Total hurry volume (3.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
zachariah-branch,Zachariah Branch,WR,Georgia,"- Route-level efficiency is light for top projection tiers (YPRR 1.75).
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Route-level efficiency is light for top projection tiers (YPRR 1.75).
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
jakobi-lane,Ja'Kobi Lane,WR,USC,"- Target-earning rate (19.1% share) suggests volume translation risk against NFL coverage.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Target-earning rate (19.1% share) suggests volume translation risk against NFL coverage.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
davison-igbinosun,Davison Igbinosun,CB,Ohio State,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
chris-johnson,Chris Johnson,CB,San Diego State,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
jake-golday,Jake Golday,LB,Cincinnati Bearcats,"- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
keyshaun-elliott,Keyshaun Elliott,LB,Arizona State,"- PFF grade 67.5 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- PFF grade 67.5 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
caleb-tiernan,Caleb Tiernan,OT,Northwestern Wildcats,"- PFF grade 70.5 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- PFF grade 70.5 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
romello-height,Romello Height,EDGE,Texas Tech Red Raiders,"- Total hurry volume (13.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Total hurry volume (13.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
chandler-rivers,Chandler Rivers,CB,Duke,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
elijah-sarratt,Elijah Sarratt,WR,Indiana Hoosiers,"- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
jonah-coleman,Jonah Coleman,RB,Washington Huskies,"- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.","- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,,
jermod-mccoy,Jermod McCoy,CB,Tennessee,"- No stable PFF grade loaded yet; track week-to-week consistency until the performance baseline is complete.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- No stable PFF grade loaded yet; track week-to-week consistency until the performance baseline is complete.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
genesis-smith,Genesis Smith,S,Arizona,"- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
domonique-orange,Domonique Orange,DT,Iowa State Cyclones,"- PFF grade 68.3 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- PFF grade 68.3 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
jake-slaughter,Jake Slaughter,IOL,Florida,"- Interior anchor mass is light versus NFL power fronts, creating pocket-depth stress risk.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- Interior anchor mass is light versus NFL power fronts, creating pocket-depth stress risk.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
jacob-rodriguez,Jacob Rodriguez,LB,Texas Tech,"- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
deion-burks,Deion Burks,WR,Oklahoma,"- Route-level efficiency is light for top projection tiers (YPRR 1.88).
- Target-earning rate (18.0% share) suggests volume translation risk against NFL coverage.
- PFF grade 64.1 suggests current performance volatility that needs film-confirmed cleanup.","- Route-level efficiency is light for top projection tiers (YPRR 1.88).
- Target-earning rate (18.0% share) suggests volume translation risk against NFL coverage.
- PFF grade 64.1 suggests current performance volatility that needs film-confirmed cleanup.",,,
dontay-corleone,Dontay Corleone,DT,Cincinnati Bearcats,"- PFF grade 72.6 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- PFF grade 72.6 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
chris-bell,Chris Bell,WR,Louisville,"- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
anthony-lucas,Anthony Lucas,EDGE,USC Trojans,"- Total hurry volume (7.0) leaves less evidence of sustained rush disruption.
- PFF grade 71.4 suggests current performance volatility that needs film-confirmed cleanup.","- Total hurry volume (7.0) leaves less evidence of sustained rush disruption.
- PFF grade 71.4 suggests current performance volatility that needs film-confirmed cleanup.",,,
jadarian-price,Jadarian Price,RB,Notre Dame,"- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.","- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,,
